,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
0,frozenset({'Google 22 oz Water Bottle'}),frozenset({'1 oz Hand Sanitizer'}),0.027293404094010616,0.005147440245800247,0.0014763975898806911,0.054093567251461985,10.5088285960379,0.0013359064232022916,1.0517452100028943,0.9302310884540035
1,frozenset({'1 oz Hand Sanitizer'}),frozenset({'Google 22 oz Water Bottle'}),0.005147440245800247,0.027293404094010616,0.0014763975898806911,0.2868217054263566,10.508828596037898,0.0013359064232022916,1.3639038138247026,0.9095236340142485
2,frozenset({'Google Kick Ball'}),frozenset({'1 oz Hand Sanitizer'}),0.011212641155580384,0.005147440245800247,0.001157176489365947,0.10320284697508897,20.049353085602363,0.0010994600890199965,1.109339560678294,0.9608972753332777
3,frozenset({'1 oz Hand Sanitizer'}),frozenset({'Google Kick Ball'}),0.005147440245800247,0.011212641155580384,0.001157176489365947,0.2248062015503876,20.049353085602363,0.0010994600890199965,1.2755356929093011,0.9550390856232401
4,frozenset({'Google Laptop and Cell Phone Stickers'}),frozenset({'1 oz Hand Sanitizer'}),0.03216152587686046,0.005147440245800247,0.0010374685766729181,0.03225806451612903,6.266816704176044,0.0008719190440080205,1.0280143117460063,0.8683570397856113
5,frozenset({'1 oz Hand Sanitizer'}),frozenset({'Google Laptop and Cell Phone Stickers'}),0.005147440245800247,0.03216152587686046,0.0010374685766729181,0.20155038759689925,6.266816704176044,0.0008719190440080205,1.212147215163932,0.8447777956040431
6,frozenset({'Google Sunglasses'}),frozenset({'1 oz Hand Sanitizer'}),0.027692430469654045,0.005147440245800247,0.001236981764494633,0.044668587896253595,8.677825436186135,0.0010944366333911107,1.0413690444485892,0.9099628397475696
7,frozenset({'1 oz Hand Sanitizer'}),frozenset({'Google Sunglasses'}),0.005147440245800247,0.027692430469654045,0.001236981764494633,0.24031007751937986,8.677825436186136,0.0010944366333911107,1.2798742496879043,0.8893415897693339
8,frozenset({'Maze Pen'}),frozenset({'1 oz Hand Sanitizer'}),0.014923586449064283,0.005147440245800247,0.0010374685766729181,0.06951871657754011,13.505492683331262,0.0009606503071733255,1.0691806245634217,0.93998398409627
9,frozenset({'1 oz Hand Sanitizer'}),frozenset({'Maze Pen'}),0.005147440245800247,0.014923586449064283,0.0010374685766729181,0.20155038759689925,13.505492683331262,0.0009606503071733255,1.2337364791074825,0.9307470165002655
10,frozenset({'SPF-15 Slim & Slender Lip Balm'}),frozenset({'1 oz Hand Sanitizer'}),0.004868121782849846,0.005147440245800247,0.001157176489365947,0.2377049180327869,46.17924768077266,0.001132118123379449,1.3050754009678749,0.9831312540529927
11,frozenset({'1 oz Hand Sanitizer'}),frozenset({'SPF-15 Slim & Slender Lip Balm'}),0.005147440245800247,0.004868121782849846,0.001157176489365947,0.2248062015503876,46.179247680772654,0.001132118123379449,1.2837201229001236,0.9834072815990529
12,frozenset({'Google 22 oz Water Bottle'}),frozenset({'22 oz Android Bottle'}),0.027293404094010616,0.005546466621443678,0.002593671441682295,0.09502923976608185,17.13329336530775,0.002442289486889291,1.0988791871259007,0.9680556388272678
13,frozenset({'22 oz Android Bottle'}),frozenset({'Google 22 oz Water Bottle'}),0.005546466621443678,0.027293404094010616,0.002593671441682295,0.46762589928057546,17.13329336530775,0.002442289486889291,1.8271110382558449,0.9468859765545425
